Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Chris Volstad,- - -,467.1,0.141,0.077,0.303,0.503,0.196,0.301,0.052,87.9,0.191,0.521,0.288,0.594,0.182,,0.103,0.121,,,-0.74,-0.57,,-0.53,-0.34,,,0.29,0.435,0.845,0.436,0.591,0.067,0.675,91.1,84,,78.5,84.3,,,0.623,0.727,0.916,19.7,9901
Kyle Drabek,Blue Jays,161,0.148,0.144,0.292,0.506,0.198,0.296,0.108,,0.177,0.528,0.295,0.623,0.01,0.16,0.105,0.102,,,-0.6,-2.98,-1.37,0.2,-0.78,,,0.283,0.399,0.779,0.328,0.494,0.088,0.718,93.1,89.3,90.7,81.4,85.7,,,0.635,0.649,0.899,21.4,4359
Chris Rusin,- - -,260,0.145,0.077,0.329,0.516,0.22,0.265,0.087,88.6,0.169,0.522,0.309,0.459,0.061,0.266,0.052,0.161,,,-1.23,-3.35,-0.36,-0.53,-1.15,,,0.302,0.463,0.82,0.44,0.624,0.083,0.683,88.8,81.7,85.8,77.9,80.9,,,0.667,0.707,0.884,22.1,9895
Tyler Lyons,Cardinals,107.1,0.203,0.073,0.3,0.433,0.215,0.353,0.07,87.8,0.2,0.472,0.328,0.594,0.241,,0.049,0.116,,,-1.57,1.85,,-3.02,-0.2,,,0.302,0.453,0.794,0.487,0.596,0.093,0.656,89.7,81,,75.1,82.7,,,0.612,0.579,0.906,19.7,11334
Jeff Francis,- - -,460.1,0.142,0.051,0.322,0.479,0.188,0.333,0.075,,0.182,0.547,0.271,0.55,0.001,0.026,0.164,0.258,,,-0.79,3.21,-6.71,0.24,-0.77,,,0.294,0.447,0.823,0.451,0.594,0.078,0.665,85.6,79.1,84.1,69.2,77.3,,,0.633,0.704,0.891,20.5,4684
Casey Coleman,Cubs,136.1,0.162,0.111,0.323,0.46,0.19,0.35,0.092,,0.208,0.488,0.304,0.599,0.109,0.001,0.135,0.156,,,-0.88,0.29,-1.19,0.97,-2.17,,,0.236,0.401,0.842,0.439,0.563,0.063,0.694,89.6,80.1,86.7,76.4,81.7,,,0.612,0.709,0.907,19.4,8270
Brad Bergesen,Orioles,229,0.114,0.07,0.296,0.457,0.163,0.38,0.062,,0.17,0.538,0.293,0.642,0.233,,0.018,0.106,,,-1.55,-1.04,,-0.93,-0.4,,,0.279,0.454,0.88,0.471,0.647,0.054,0.653,90.3,82.8,,78.5,82.9,,,0.65,0.771,0.933,18.4,8375
Rich Harden,- - -,172,0.212,0.117,0.291,0.335,0.176,0.489,0.101,,0.213,0.492,0.295,0.635,0.016,,,0.348,,,-1.06,4.92,,,-0.98,,,0.272,0.447,0.778,0.453,0.535,0.099,0.752,91,82.2,,,83,,,0.659,0.629,0.852,20.3,1772
Tyler Beede,Giants,120.1,0.214,0.089,0.309,0.442,0.225,0.332,0.041,91.2,0.125,0.419,0.457,0.557,0.116,,0.134,0.193,,,-0.25,-0.66,,0.21,-1.29,,,0.292,0.455,0.755,0.409,0.656,0.112,0.716,94.1,86.3,,80,83.5,,,0.69,0.546,0.882,24.6,16981
Barry Enright,- - -,142,0.118,0.078,0.27,0.357,0.171,0.473,0.103,,0.165,0.466,0.369,0.652,0.15,,0.118,0.08,,,-1.23,0.49,,-1.49,0,,,0.283,0.466,0.861,0.473,0.635,0.064,0.763,89.2,80.9,,75.1,80.6,,,0.67,0.732,0.922,22.4,2412
Freddy Peralta,Brewers,109.1,0.29,0.106,0.289,0.307,0.219,0.474,0.115,89.6,0.15,0.421,0.429,0.787,,,0.186,0.028,,,0.06,,,0.58,-3.17,,,0.281,0.46,0.76,0.452,0.592,0.11,0.647,91.3,,,76.5,86.9,,,0.678,0.632,0.825,24.5,18679
Erik Johnson,- - -,117.2,0.163,0.101,0.302,0.386,0.218,0.396,0.098,91.8,0.144,0.478,0.378,0.608,0.242,,0.075,0.074,,,-2.09,-0.49,,-0.54,-1.12,,,0.258,0.441,0.819,0.446,0.549,0.08,0.757,90.8,85.2,,72.6,81.1,,,0.668,0.684,0.884,21.4,12520
Tyler Wilson,Orioles,104,0.111,0.062,0.288,0.463,0.2,0.337,0.065,90.3,0.157,0.493,0.35,0.643,0.204,,0.038,0.115,,,-1.08,0.66,,1.61,-2.11,,,0.259,0.453,0.867,0.487,0.572,0.06,0.672,89.5,79.5,,75.9,81.6,,,0.657,0.697,0.937,23.1,12691
Ty Blach,- - -,246,0.123,0.072,0.31,0.492,0.214,0.294,0.074,87.9,0.179,0.484,0.338,0.597,0.055,,0.112,0.236,,,0.02,0.43,,-1.21,-0.73,,,0.258,0.444,0.853,0.467,0.63,0.066,0.648,90,80.4,,76.2,80,,,0.656,0.742,0.902,20.1,14361
Archie Bradley,Diamondbacks,178.2,0.207,0.112,0.335,0.476,0.232,0.292,0.057,90,0.167,0.472,0.362,0.699,,,0.237,0.064,,,-0.59,,,-0.11,-1.74,,,0.248,0.423,0.815,0.445,0.57,0.078,0.682,92.4,,,80.2,85.7,,,0.642,0.696,0.872,22,12918
Jacob Turner,- - -,298.1,0.146,0.088,0.306,0.465,0.204,0.331,0.052,90.6,0.129,0.54,0.331,0.63,0.135,0.005,0.149,0.081,,,-0.28,-2.06,-7.39,-1.63,-1.36,,,0.284,0.452,0.816,0.419,0.565,0.083,0.655,92.1,85,90.2,78.5,85.9,,,0.685,0.653,0.909,21.1,10185
Chien-Ming Wang,- - -,111,0.105,0.072,0.321,0.554,0.182,0.264,0.047,,0.185,0.486,0.328,0.732,0.105,,0.073,0.072,0.018,,-1.09,-1.92,,-2.25,-0.31,-7.75,,0.262,0.44,0.875,0.444,0.602,0.055,0.675,90.5,84.2,,77.9,81,80.4,,0.663,0.779,0.923,23.7,2074
Ross Ohlendorf,- - -,225.1,0.16,0.087,0.301,0.34,0.216,0.444,0.126,,0.187,0.489,0.324,0.628,0.264,0.001,,0.106,,,-1.23,0.15,0.95,,-2.84,,,0.299,0.464,0.816,0.442,0.61,0.085,0.68,91.3,80.6,85.8,,82.3,,,0.671,0.672,0.897,22.1,8268
Jeremy Bonderman,- - -,208.1,0.138,0.084,0.293,0.443,0.171,0.386,0.056,,0.135,0.498,0.367,0.646,0.307,,,0.047,,,-1.11,0.15,,,0.47,,,0.301,0.451,0.832,0.43,0.574,0.075,0.657,89.9,81,,,83.8,,,0.65,0.682,0.925,21.8,1667
Scott Carroll,White Sox,106.2,0.1,0.075,0.317,0.539,0.199,0.262,0.1,,0.141,0.563,0.296,0.59,0.032,0.076,0.138,0.165,,,-1.18,-3.55,-2.47,0.02,-1,,,0.27,0.422,0.883,0.432,0.602,0.049,0.623,89.6,81.2,86.8,76.6,82.4,,,0.623,0.796,0.932,22.6,888
Andre Rienzo,White Sox,113.1,0.158,0.106,0.279,0.458,0.204,0.338,0.008,,0.111,0.55,0.34,0.366,,0.368,0.207,0.054,0.006,,-1.99,,-0.64,-0.12,-1.45,-1.96,,0.261,0.42,0.808,0.435,0.492,0.081,0.68,90.9,,87.1,77.8,84,81.5,,0.627,0.607,0.917,20.1,3507
Shane Greene,- - -,173.1,0.183,0.08,0.324,0.46,0.221,0.319,0.112,88.2,0.192,0.526,0.283,0.501,0.139,0.289,0.005,0.066,,,-1.29,-0.08,-0.17,3.1,-0.8,,,0.336,0.461,0.811,0.434,0.607,0.087,0.664,92.5,81.2,87.1,76.6,85.8,,,0.623,0.683,0.901,22.8,10756
Tyler Duffey,Twins,193,0.199,0.062,0.332,0.484,0.217,0.298,0.099,90.3,0.165,0.517,0.318,0.556,0.002,,0.387,0.055,,,-1,-3.5,,-0.19,-1.59,,,0.328,0.467,0.811,0.438,0.636,0.088,0.656,90.4,83,,79.9,82.5,,,0.647,0.684,0.894,20.9,13758
Nick Pivetta,Phillies,365,0.244,0.084,0.324,0.445,0.206,0.349,0.089,89,0.175,0.471,0.354,0.602,0.159,,0.21,0.028,,,-0.75,0.15,,0.27,-1.94,,,0.3,0.466,0.78,0.464,0.615,0.102,0.687,94.5,84.5,,79.9,86.9,,,0.659,0.638,0.856,21.7,15454
Adam Morgan,Phillies,194,0.166,0.052,0.309,0.342,0.231,0.427,0.102,89.2,0.176,0.492,0.331,0.524,0.244,,0.048,0.185,,,-1.65,-0.27,,1.01,-0.1,,,0.327,0.491,0.79,0.441,0.631,0.103,0.672,90,82.2,,75.3,78.4,,,0.699,0.656,0.87,20.9,12580
Antonio Senzatela,Rockies,308.2,0.154,0.088,0.309,0.497,0.228,0.275,0.069,88.9,0.181,0.47,0.349,0.663,0.196,,0.073,0.057,0.011,,-0.34,-1.08,,-0.03,-0.99,-6.7,,0.248,0.44,0.831,0.454,0.595,0.074,0.681,93.8,83.4,,78.5,86,88.1,,0.67,0.67,0.903,22.5,15488
Yusei Kikuchi,Mariners,161.2,0.161,0.069,0.31,0.44,0.206,0.354,0.12,89.2,0.18,0.443,0.377,0.491,0.279,,0.157,,0.074,,-1.35,-0.95,,-1.38,,0.05,,0.282,0.476,0.815,0.463,0.592,0.088,0.708,92.5,86,,75,,84.5,,0.701,0.646,0.893,25.3,20633
Aaron Cook,- - -,317.2,0.09,0.078,0.311,0.574,0.186,0.24,0.058,,0.166,0.559,0.275,0.77,0.094,0.042,0.094,0.001,,,-0.72,-2.95,-0.26,-0.34,-2.71,,,0.267,0.454,0.886,0.475,0.571,0.052,0.649,89.2,84.8,89.1,74.3,80.4,,,0.66,0.773,0.936,21,1571
Tim Wakefield,Red Sox,252.1,0.137,0.069,0.287,0.377,0.165,0.459,0.124,,0.224,0.489,0.287,0.108,,,0.032,,,0.86,0.81,,,0.21,,,-1.26,0.297,0.474,0.818,0.503,0.62,0.085,0.584,72.9,,,59.7,,,65.9,0.649,0.782,0.834,18.5,219
Erick Fedde,Nationals,126,0.165,0.099,0.328,0.527,0.219,0.254,0.05,89.5,0.189,0.455,0.356,0.556,0.142,0.155,0.046,0.101,,,-0.69,-0.95,-0.26,-1.5,-2.43,,,0.272,0.417,0.821,0.39,0.593,0.075,0.744,92.9,80.1,87.3,77.2,86.7,,,0.645,0.691,0.906,22.1,17425
Yohan Flande,Rockies,101.1,0.143,0.079,0.281,0.572,0.18,0.248,0.037,91.3,0.155,0.522,0.322,0.591,0.136,,,0.272,,,-0.24,-1.93,,,-1.27,,,0.28,0.435,0.836,0.448,0.617,0.071,0.688,90.5,83.9,,,85,,,0.625,0.691,0.916,20.9,5057
Nick Blackburn,Twins,405,0.102,0.067,0.315,0.504,0.188,0.308,0.077,,0.139,0.551,0.31,0.605,,0.128,0.124,0.143,,,-0.93,,-1.64,-2.23,-1.77,,,0.276,0.443,0.897,0.484,0.586,0.046,0.679,90.3,,87.5,77.8,82.8,,,0.622,0.82,0.933,20.3,4270
Esmil Rogers,- - -,221.2,0.165,0.085,0.333,0.481,0.219,0.3,0.059,,0.153,0.547,0.3,0.593,0.181,0.026,0.144,0.057,0,,-1.46,1.05,-1.31,-0.88,-4.58,-4.65,,0.257,0.44,0.838,0.446,0.559,0.072,0.692,93.5,85.9,90.4,80.6,85.6,87,,0.669,0.689,0.909,22.1,6317
John Ely,Dodgers,105.2,0.178,0.095,0.308,0.443,0.201,0.356,0.104,,0.167,0.486,0.347,0.52,,0.215,0.084,0.182,,,-0.9,,0.08,-2.31,0.59,,,0.255,0.424,0.792,0.441,0.591,0.087,0.653,87.3,,85,70.4,78.4,,,0.639,0.633,0.872,18.2,6132
P.J. Walters,- - -,117,0.144,0.085,0.31,0.406,0.227,0.367,0.069,,0.131,0.534,0.335,0.515,0.006,0.103,0.248,0.129,,,-1.48,3.77,0.4,-0.39,-0.15,,,0.264,0.411,0.854,0.438,0.564,0.06,0.682,88.7,75.7,87,75.7,78.9,,,0.601,0.774,0.9,19.8,9557
Hector Noesi,- - -,313.1,0.162,0.089,0.276,0.378,0.193,0.429,0.111,87.8,0.179,0.52,0.301,0.544,0.168,,0.079,0.209,,,-0.57,-1.03,,-2.25,-0.12,,,0.31,0.48,0.799,0.443,0.624,0.096,0.676,92.8,87,,79.9,86.5,,,0.695,0.701,0.855,21.8,3292
Christian Friedrich,- - -,226.1,0.186,0.088,0.321,0.432,0.208,0.36,0.121,88.5,0.168,0.519,0.313,0.573,0.177,,0.17,0.08,,,-1.03,1.77,,-1.28,-2.51,,,0.31,0.459,0.813,0.429,0.569,0.086,0.634,90.4,83,,76.4,83.8,,,0.658,0.66,0.908,22.9,7942
Dillon Peters,- - -,111.2,0.167,0.108,0.306,0.461,0.216,0.323,0.087,90.7,0.166,0.449,0.385,0.507,0.018,,0.303,0.172,,,-1.6,-5.95,,-0.42,-0.19,,,0.293,0.451,0.801,0.427,0.622,0.09,0.698,91,81.7,,77.1,83.9,,,0.663,0.699,0.862,24.2,18790
Brad Lincoln,Pirates,116.1,0.125,0.066,0.306,0.404,0.209,0.387,0.071,,0.184,0.507,0.309,0.664,,,0.235,0.09,0.011,,-1.99,,,1.21,0.75,-1.54,,0.287,0.471,0.861,0.483,0.565,0.065,0.67,91.8,,,81.6,84,84.4,,0.669,0.738,0.917,22.1,4241
Eddie Butler,- - -,192.2,0.121,0.104,0.317,0.475,0.231,0.294,0.099,88.4,0.175,0.504,0.321,0.636,0.157,,0.087,0.12,,,-1.12,-0.7,,-0.83,-2.68,,,0.273,0.457,0.845,0.437,0.572,0.071,0.695,93.1,87.7,,80.8,87.2,,,0.692,0.722,0.907,22.2,13453
Jo-Jo Reyes,- - -,133.2,0.129,0.077,0.324,0.4,0.221,0.379,0.129,,0.27,0.445,0.285,0.722,0.111,,0.038,0.129,,,-1.16,0.36,,-2.01,-2.94,,,0.301,0.469,0.858,0.465,0.574,0.066,0.656,89.9,83.8,,77.4,83.2,,,0.662,0.763,0.908,20,5559
Anthony Swarzak,Twins,105,0.121,0.054,0.327,0.394,0.19,0.416,0.077,,0.203,0.472,0.325,0.677,0.138,,0.082,0.103,,,-0.74,-0.87,,1.59,-3.96,,,0.301,0.471,0.866,0.451,0.623,0.063,0.624,91.4,82.4,,78.6,82.2,,,0.679,0.782,0.912,22.4,7466
Kyle Davies,Royals,245,0.159,0.096,0.331,0.402,0.187,0.411,0.073,,0.197,0.507,0.296,0.477,,0.23,0.135,0.159,,,-1.6,,0.25,-0.91,-0.24,,,0.268,0.432,0.8,0.432,0.553,0.085,0.649,92.4,,88.6,78,83.1,,,0.648,0.675,0.868,20.5,3642
Christian Bergman,- - -,129.1,0.138,0.054,0.32,0.351,0.243,0.406,0.076,89.6,0.161,0.477,0.362,0.507,0.246,,0.102,0.146,,,-1,0.55,,-2.68,-3.72,,,0.3,0.496,0.855,0.483,0.666,0.072,0.698,88.8,85.2,,77.1,81.1,,,0.706,0.749,0.903,20.8,10925
Zach Duke,- - -,213.1,0.126,0.063,0.345,0.486,0.198,0.316,0.078,,0.187,0.523,0.291,0.59,0.096,,0.16,0.154,,,-1.44,-3.14,,-0.82,-0.83,,,0.302,0.454,0.842,0.44,0.589,0.071,0.655,87.2,79,,72.7,81.1,,,0.646,0.739,0.903,20,3840
Brian Matusz,- - -,313,0.173,0.09,0.318,0.358,0.197,0.445,0.109,85.9,0.225,0.493,0.283,0.611,0.11,,0.112,0.167,,,-0.93,-0.79,,-0.66,-1.73,,,0.275,0.454,0.836,0.493,0.579,0.074,0.678,89.9,82.9,,75.7,82,,,0.638,0.737,0.88,21,2646
David Hess,Orioles,168,0.171,0.082,0.27,0.341,0.196,0.463,0.107,89.8,0.159,0.469,0.371,0.59,0.248,,0.065,0.098,,,-1.55,-0.31,,-1.36,-1.5,,,0.287,0.477,0.82,0.434,0.612,0.086,0.668,92.3,81.4,,73.7,84.3,,,0.726,0.697,0.884,23.2,16130
Jeff Hoffman,Rockies,191,0.188,0.096,0.3,0.412,0.198,0.39,0.069,89.2,0.174,0.46,0.366,0.622,0.067,,0.216,0.096,,,-1.31,-1.12,,0.59,-2.6,,,0.274,0.456,0.82,0.459,0.593,0.082,0.676,94.1,83.2,,76.9,85.5,,,0.671,0.658,0.898,24.6,17432
Liam Hendriks,- - -,181.2,0.137,0.068,0.317,0.41,0.231,0.359,0.089,88.5,0.157,0.495,0.348,0.679,0.144,,0.096,0.081,,,-0.5,-2.95,,-1.13,-2.82,,,0.3,0.464,0.857,0.456,0.586,0.066,0.646,90.7,82.8,,73.5,82.6,,,0.661,0.768,0.905,21.7,3548
Alex White,- - -,144,0.144,0.107,0.301,0.524,0.187,0.289,0.051,,0.162,0.552,0.286,0.697,0.169,,,,0.134,,-1.21,-1.86,,,,-2.39,,0.299,0.452,0.816,0.398,0.531,0.082,0.696,91.6,83.7,,,,86.8,,0.684,0.681,0.905,23.4,10054
David Huff,- - -,168.2,0.126,0.075,0.309,0.363,0.203,0.434,0.118,87.2,0.179,0.506,0.315,0.651,0.053,0.032,0.076,0.189,,,-0.83,-5.48,-3.4,-1.47,-2.29,,,0.287,0.448,0.855,0.432,0.627,0.065,0.62,90.8,82,88.8,77.6,81.6,,,0.66,0.783,0.896,20.4,4257
Trevor May,Twins,127.2,0.202,0.067,0.358,0.369,0.226,0.405,0.139,88.7,0.174,0.521,0.305,0.606,0.08,,0.139,0.176,,,-0.59,-2.42,,-1.94,-1.06,,,0.298,0.472,0.803,0.482,0.611,0.093,0.648,92.1,83.2,,76.6,84.3,,,0.659,0.7,0.853,21.4,6398
Adrian Sampson,- - -,106,0.177,0.051,0.321,0.39,0.209,0.401,0.093,91.4,0.136,0.385,0.479,0.568,0.283,,0.003,0.146,,,-2.62,-0.36,,-2.24,1.13,,,0.309,0.499,0.827,0.427,0.566,0.086,0.74,92,83.9,,82,86.8,,,0.753,0.677,0.909,23.7,13339
Daniel Gossett,Athletics,115.2,0.163,0.076,0.314,0.429,0.233,0.339,0.061,88.4,0.148,0.497,0.355,0.525,0.238,,0.133,0.104,,,-1.68,-0.26,,-0.69,-2.71,,,0.303,0.462,0.813,0.435,0.554,0.086,0.692,91.8,84.6,,78.6,84.4,,,0.667,0.675,0.895,22.5,16164
Joe Biagini,Blue Jays,106.2,0.173,0.081,0.325,0.544,0.182,0.274,0.073,87.8,0.177,0.501,0.322,0.526,0.113,,0.21,0.152,,,-1.18,-3.33,,0.42,0.68,,,0.293,0.46,0.821,0.455,0.64,0.082,0.596,93.3,89.3,,78.2,85.8,,,0.661,0.691,0.89,25.7,13194
Sean O'Sullivan,- - -,250.1,0.107,0.082,0.305,0.406,0.198,0.397,0.079,88.8,0.182,0.51,0.308,0.569,0.16,0.003,0.115,0.154,,,-2.43,0.33,6.51,-1.01,0.91,,,0.266,0.438,0.863,0.454,0.584,0.06,0.674,90.5,79.2,86.5,75.8,79.1,,,0.645,0.77,0.909,22.4,9137
Glenn Sparkman,Royals,131.1,0.137,0.067,0.298,0.376,0.225,0.4,0.049,90.6,0.124,0.458,0.418,0.597,0.098,,0.169,0.136,,,-0.36,-2.62,,-3.49,-0.64,,,0.281,0.474,0.838,0.44,0.626,0.077,0.667,93.3,83.4,,79.9,85.8,,,0.719,0.696,0.909,23.9,15200
Allen Webster,- - -,112.1,0.144,0.118,0.291,0.453,0.199,0.348,0.135,89,0.173,0.508,0.319,0.611,0.139,,0.019,0.231,,,-2.2,0.96,,-8.13,0.43,,,0.292,0.462,0.754,0.404,0.598,0.114,0.633,92.4,84.2,,77.3,84.2,,,0.713,0.633,0.827,22.1,3993
John Lamb,- - -,129.2,0.216,0.092,0.347,0.398,0.219,0.383,0.121,86.5,0.201,0.488,0.312,0.53,0,0.194,0.11,0.166,,,-1.54,-10.24,-1.15,0.42,-0.98,,,0.272,0.445,0.794,0.466,0.587,0.092,0.664,90.1,79,85.5,68.2,75.5,,,0.644,0.71,0.835,20,8493
Brian Bannister,Royals,126.2,0.13,0.085,0.315,0.43,0.2,0.37,0.067,,0.177,0.526,0.298,0.339,,0.339,0.126,0.196,,,-1.51,,-1.91,-0.59,-0.83,,,0.251,0.424,0.84,0.453,0.562,0.068,0.667,90,,88.1,75.3,84.4,,,0.633,0.722,0.897,19.4,5718
Asher Wojciechowski,- - -,129,0.217,0.07,0.323,0.283,0.205,0.513,0.158,88.5,0.176,0.468,0.356,0.561,0.247,0.13,,0.062,,,-1.37,-1.07,0.27,,-5.26,,,0.323,0.486,0.778,0.437,0.589,0.108,0.681,91.7,80.8,85.9,,83.9,,,0.696,0.642,0.86,24.4,10836
Ariel Jurado,Rangers,134,0.137,0.072,0.321,0.476,0.222,0.302,0.114,90.2,0.122,0.444,0.435,0.655,0.146,,0.081,0.118,,,-1.3,-2.94,,1.4,0.49,,,0.272,0.456,0.861,0.442,0.622,0.064,0.603,92.1,85.2,,79.7,85.1,,,0.688,0.743,0.919,20.7,17030
Mike Wright Jr.,Orioles,111,0.158,0.082,0.307,0.392,0.218,0.39,0.113,89.3,0.174,0.515,0.311,0.689,0.175,0.02,0.026,0.09,,,-0.3,-2.33,-0.13,-8.07,-3.76,,,0.264,0.457,0.85,0.45,0.551,0.068,0.639,93,82.5,88.9,77.2,80.5,,,0.693,0.742,0.9,22.3,12586
Jorge Lopez,- - -,130.1,0.179,0.078,0.322,0.442,0.22,0.339,0.021,89.6,0.133,0.469,0.398,0.55,0.082,,0.276,0.093,,,-1.1,-0.85,,-0.55,-1.89,,,0.289,0.436,0.811,0.427,0.582,0.082,0.651,93.7,87.9,,81.2,87.5,,,0.633,0.68,0.891,22.7,14527
Brandon Maurer,Mariners,102,0.151,0.076,0.341,0.413,0.202,0.384,0.053,,0.134,0.558,0.308,0.518,0.205,0.075,0.094,0.108,,,-1.06,-1.24,-2.08,-2.07,-1.39,,,0.278,0.431,0.811,0.423,0.587,0.081,0.613,92.3,86.3,89.7,74.4,84.7,,,0.639,0.68,0.889,21.5,4878
Dylan Covey,White Sox,217.1,0.157,0.102,0.307,0.492,0.208,0.299,0.042,89.7,0.167,0.485,0.349,0.583,0.128,0.083,0.076,,0.13,,-0.65,-2.48,-1.63,-2.01,,-0.18,,0.258,0.44,0.842,0.459,0.591,0.07,0.597,93.7,85.8,90.9,80.1,,84.9,,0.654,0.699,0.908,24.5,14825
Ryan Rowland-Smith,Mariners,101.1,0.087,0.087,0.295,0.363,0.176,0.461,0.064,,0.178,0.483,0.339,0.581,0.077,,0.124,0.219,,,-2.54,-1,,-2.26,-1.1,,,0.24,0.461,0.882,0.5,0.578,0.055,0.623,88.3,78.8,,70.9,79.6,,,0.682,0.753,0.927,18.3,3245
Aaron Brooks,- - -,131,0.156,0.074,0.33,0.432,0.207,0.361,0.101,90.1,0.147,0.494,0.359,0.556,0.196,,0.038,0.21,,,-1.35,-0.97,,-4.1,-0.5,,,0.285,0.461,0.827,0.414,0.597,0.08,0.629,91.6,85.4,,78,83.8,,,0.711,0.715,0.89,22.8,12272
